,bill,person,vote
850,sconres3-115,W000822,0
851,sconres3-115,W000814,1
852,sconres3-115,W000806,1
853,sconres3-115,W000800,0
854,sconres3-115,W000815,1
855,sconres3-115,W000821,1
856,sconres3-115,W000816,1
857,sconres3-115,W000808,0
858,sconres3-115,W000795,1
859,sconres3-115,W000804,1
860,sconres3-115,W000809,1
861,sconres3-115,W000810,1
862,sconres3-115,Y000062,0
863,sconres3-115,Y000063,1
864,sconres3-115,Y000065,1
865,sconres3-115,Y000033,1
866,sconres3-115,Y000066,1
867,sconres3-115,Z000017,1
868,sconres3-115,Z000018,0
869,s84-115,A000374,1
870,s84-115,A000370,0
871,s84-115,A000055,1
872,s84-115,A000371,0
873,s84-115,A000372,1
874,s84-115,A000367,0
875,s84-115,A000369,1
876,s84-115,A000375,1
877,s84-115,B001291,1
878,s84-115,B001298,1
879,s84-115,B001299,1
880,s84-115,B001269,1
881,s84-115,B001282,1
882,s84-115,B001300,0
883,s84-115,B000213,1
884,s84-115,B001270,0
885,s84-115,B001281,0
886,s84-115,B000287,0
887,s84-115,B001287,1
888,s84-115,B001301,1
889,s84-115,H001056,1
890,s84-115,B001292,1
891,s84-115,B001302,1
892,s84-115,B001257,1
893,s84-115,B000490,0
894,s84-115,B001293,1
895,s84-115,B001250,1
896,s84-115,B001273,1
897,s84-115,B001243,1
898,s84-115,B001294,1
899,s84-115,B000574,0
900,s84-115,B001303,0
901,s84-115,B001278,0
902,s84-115,B001295,1
903,s84-115,B001296,0
904,s84-115,B001227,0
905,s84-115,B000755,1
906,s84-115,B001290,1
907,s84-115,B001283,1
908,s84-115,B001274,1
909,s84-115,B001284,1
910,s84-115,B001304,0
911,s84-115,B001285,1
912,s84-115,B001260,0
913,s84-115,B001297,1
914,s84-115,B001275,1
915,s84-115,B001305,1
916,s84-115,B001248,1
917,s84-115,B001286,0
918,s84-115,B001251,0
919,s84-115,B001289,1
920,s84-115,C000059,1
921,s84-115,C001037,0
922,s84-115,C001112,0
923,s84-115,C001097,0
924,s84-115,C001072,0
925,s84-115,C001103,1
926,s84-115,C001051,1
927,s84-115,C001090,1
928,s84-115,C001066,0
929,s84-115,C001091,0
930,s84-115,C000266,1
931,s84-115,C001076,1
932,s84-115,C001109,1
933,s84-115,C001080,0
934,s84-115,C001084,0
935,s84-115,C001101,0
936,s84-115,C001067,0
937,s84-115,C001049,0
938,s84-115,C001061,0
939,s84-115,C000537,0
940,s84-115,C001077,1
941,s84-115,C001068,1
942,s84-115,C001053,1
943,s84-115,C001093,1
944,s84-115,C001092,1
945,s84-115,C001108,1
946,s84-115,C001105,1
947,s84-115,C001062,1
948,s84-115,C001078,1
949,s84-115,C000714,0
950,s84-115,C001094,1
951,s84-115,C000754,1
952,s84-115,C001110,1
953,s84-115,C001059,1
954,s84-115,C001106,1
955,s84-115,C001069,0
956,s84-115,C001096,1
957,s84-115,C001087,1
958,s84-115,C001111,1
959,s84-115,C001038,0
960,s84-115,C001063,1
961,s84-115,C001048,1
962,s84-115,C000984,0
963,s84-115,C001107,1
964,s84-115,D000626,1
965,s84-115,D000598,0
966,s84-115,D000096,0
967,s84-115,D000619,1
968,s84-115,D000191,1
969,s84-115,D000197,0
970,s84-115,D000620,1
971,s84-115,D000216,0
